1,Kharkof,CI1442,Check
2,Scout 66,CI13996,""""
3,TAM-107,PI495594,""""
4,F29-76/TAM-105//Chisholm (Custer),OK88767-11,Oklahoma
5,""""" (Tonkawa)",OK88767-02,""""
6,Ogosta/Csm//TAM-107,OK90604,""""
7,Csm/OK79256,OK90649,""""
8,Yanter/TAM-101//Mustang,OK91783,""""
9,IL71-5662/PL145//2165,HBZ374C,""""
10,TAM-200//Sxl/Tan 's',TX90D9277,Texas
11,TAM-105/10334,TX89A7137,""""
12,TAM-200//TX38949-2/TAM-107,TX91V4931,""""
13,TX81V6603/TX78A3345-V34,TX90V8410,""""
14,TX78V2430-2/TX86V1540,TX90V7911,""""
15,TAM-108/Vee's'//TX84V2029,TX91V3308,""""
16,TAM-105/10334,TX89A7141,""""
17,TX81V6603/TX78A3345-V34,TX90V6313,""""
18,Brule//Buc 's'/Bjy 's'/3/TX78V3924-5-3,TX92V4135,""""
19,HRE LT-11(OR) /4/Homestead/3/Ctk//IN4946A4-18-2-/Mow7470,HBE0726-1,""""
20,TAM-107/Hail (Akron),CO880169,Colorado
21,TAM-107/TX3006,CO880210,""""
22,"Sumner/CO820026,F1//PI372129, F1/3/T-107 (Halt)",CO910927,""""
23,TAM-101//IN4946A4-18-2-/Mow7470/5/2165/6/Ctk//IN4946A4-18-2-/Mow7470,KS92PO59E,Kansas
24,(Sturdy/2/Coker 68-15/Mow7510/3/TAM-101)/5/(In494A4-18-2/Mow7718/4/Sturdy/Kaw) /6/2163,KS92PO263-137,""""
25,WX12907/4/TAM-108/5/(Sturdy/2/Coker 68-15/Mow7510/3/TAM-101),KS92PO363-134,""""
26,Ctk//IN4946A4-18-2-/Mow7470/5/IN4946A4-18-2-/Mow7470/2/PL145/3/NB/Scout/4/IN4946A4-18-2-/Mow7470/PL145/3/NB/Scout,KS92PO425-155,""""
27,KS82W418/Stphens (Jagger),KS84063-9-39-3,""""
28,TAM-107*3/TA2460,KS93U206,"KS, USDA"
29,NE69565//NE65671/NE69655/3/Homestead/4/Ctk/3/At66/Cmn//TX2607-6,N87V106,"NE,USDA"
30,KS83H2510/Brule composite,NE90479,Nebraska
31,Brule seln/4/Bez 1/3/Ctk//Arthur/Ctk78,NE90524,""""
32,Arapahoe/TAM-107,NE91608,""""
33,NE82761/NE82599,NE91635,""""
34,NE82671/NE80431,NE91651,""""
35,Quantum Hybrid Wheat,XH1520,HybriTech
36,"""""""",XH1529,""""
37,"""""""",XH1689,""""
38,"""""""",XH1693,""""
39,"""""""",XH1706,""""
40,TX81V6610/W82-163 (Hickok),WI89-273-13,AgriPro
41,TAM-200/W81-296,WI89-189-14,""""
42,T11//Brule/TAM-108,T4731,Trio
43,T11//Brule/TAM-108,T4732,""""
44,TAM-107/T213 sib,T81,""""
45,T213 sib *2/HRW,T83,""""
